word,frequency
 kind-hearted;,13
 cooperative,12
 friendly,10
 polite,8
 enthusiastic,7
 devotion,7
 family,5
 hard,5
 working,5
 engaging,5
 resilient,5
 passion,5
 well-liked,4
 passionate,4
 enthusiasm,4
 hardworking,4
 communicated,4
 excellent,3
 fellow,3
 students,3
 [name],3
 personal,3
 pleasure,3
 contribute,3
 positively,3
 intellectual,3
 committed,3
 integrity.,3
 attitude.,2
 understanding,2
 researcher.,2
 health,2
 data,2
 delighted,2
 well-received,2
 extremely,2
 respected,2
 wholeheartedly,2
 highly,2
 motivated.,2
 grasping,2
 efforts,2
 keen,2
 talent,2
 analyzing,2
 volunteer,2
 independence,2
 impressed,1
 sure,1
 reasons.,1
 research,1
 modeling,1
 statistical,1
 learning.,1
 published.,1
 deep,1
 team,1
 project.,1
 worked,1
 science,1
 independent,1
 study,1
 one,1
 great,1
 work,1
 ability,1
 while,1
 member,1
 team.,1
 among,1
 top,1
 class,1
 terms,1
 concepts,1
 getting,1
 good,1
 grades,1
 interest.,1
 contributions,1
 resulted,1
 publication,1
 asked,1
 mentor.,1
 personally.,1
 impact,1
 difference,1
 lead,1
 verbally,1
 interactions,1
 worker,1
