word,frequency
 cooperative,9
 kind-hearted;,6
 polite,5
 family,4
 fellow,4
 friendly,4
 decent,4
 team,3
 worked,3
 student,3
 move,2
 hard,2
 students,2
 project.,2
 contribute,2
 positively,2
 committed,2
 volunteer,2
 really,1
 attitude.,1
 strongly,1
 working,1
 USA,1
 reasons.,1
 enthusiastic,1
 grasps,1
 concepts.,1
 well-liked,1
 respected,1
 learn,1
 personal,1
 person,1
 qualities,1
 devotion,1
 difference,1
 talent,1
 analyzing,1
 discussions,1
 resilient,1
 integrity.,1
 promising,1
 scientific,1
 maturity.,1
