word,frequency
 excellent,15
 persistent,15
 enthusiastic,14
 strongly,13
 hard,13
 mastery,13
 motivated.,13
 passionate,12
 top,12
 passion,12
 hardworking,11
 cooperative,10
 promising,10
 devotion,10
 committed,10
 highly,9
 resilient,9
 independent,8
 well-received,8
 outstanding,8
 worker,8
 deep,7
 recommend,7
 efforts,7
 contributions,7
 contribute,7
 publication,7
 engaging,7
 excellence.,7
 working,6
 students,6
 performance,6
 respected,6
 enthusiasm,6
 difference,6
 lead,6
 intellectual,6
 talent,6
 independence,6
 strong,5
 understanding,5
 study,5
 keen,5
 pleasure,5
 well-liked,5
 support,5
 positively,5
 learning,5
 impact,5
 integrity.,5
 published.,4
 serious,4
 demonstrated,4
 grasps,4
 interest.,4
 trained,4
 extremely,4
 results.,4
 resulted,4
 wholeheartedly,4
 model,4
 kind-hearted;,4
 complex,4
 implemented,3
 student,3
 [journal].,3
 ideal,3
 candidate,3
 Research,3
 Associate,3
 good,3
 friendly,3
 valuable,3
 addition,3
 impressed,2
 career,2
 PhD,2
 background.,2
 data,2
 research,2
 worked,2
 concepts.,2
 motivating,2
 simulate,2
 great,2
 furthering,2
 without,2
 reservation.,2
 machine,2
 multiple,2
 first,2
 graduating,2
 MS,2
 work,2
 grades,2
 among,2
 grasping,2
 confident,2
 character,2
 scientist,2
 volunteer,2
 presentations,2
 make,2
 interactions,2
 family,1
 polite,1
 Despite,1
 short,1
 modeling,1
 researcher.,1
 attitude.,1
 two,1
 penalties.,1
 using,1
 more,1
 one,1
 penalty,1
 parameter,1
 code,1
 team,1
 statistical,1
 methods,1
 did,1
 class,1
 classify,1
 histologic,1
 patterns,1
 renal,1
 cell,1
 carcinoma,1
 slides.,1
 evaluation,1
 whole-slide,1
 image,1
 validation,1
 sets,1
 showed,1
 ability,1
 while,1
 member,1
 team.,1
 whole,1
 staff,1
 alike.,1
 been,1
 science,1
 after,1
 pursuing,1
 degree.,1
 [name],1
 getting,1
 interested,1
 delighted,1
 [major].,1
 aforementioned,1
 quality,1
 characteristics,1
 scientific,1
 supervisor,1
 life,1
 mentor.,1
 job,1
 decent,1
 no,1
 doubt,1
 interest,1
 fellowship,1
 professionally.,1
 performed,1
 analyzing,1
 communicated,1
 personal,1
 discussions,1
 group,1
 individual;,1
 analyzed,1
 teams,1
 junior,1
 senior,1
 colleagues.,1
