word,frequency
 data,5
 hard,4
 respected,4
 machine,4
 science,4
 strongly,3
 hardworking,3
 motivated.,3
 persistent,3
 independence,3
 resilient,3
 statistical,2
 strong,2
 excellent,2
 learning,2
 computer,2
 worker,2
 lead,2
 modeling,1
 learning.,1
 understanding,1
 serious,1
 [name],1
 independent,1
 mastery,1
 Applied,1
 Machine,1
 Learning,1
 staff,1
 students,1
 alike.,1
 contributions,1
 keen,1
 methodologies,1
 medicine.,1
 getting,1
 bioinformatics,1
 enthusiasm,1
 confident,1
 aforementioned,1
 PhD,1
 program.,1
 kind-hearted;,1
 passion,1
 intellectual,1
 executing,1
 complex,1
 analyzing,1
 analyzed,1
 excellence.,1
 maturity.,1
