Response ID,Gender,Age,Education Level,experience - Selected Choice,experience - Other (please specify) - Text,Please select 'Agree' to indicate you are paying attention to this question.,Competitiveness rating,Competitiveness rating confidence - Confidence Score,label
R_WepZT12HYTDKJWx,Male,36,Bachelor's Degree,None,,Agree,Competitive,72,female-control
R_1ezuZItklC82Pjb,Female,57,Bachelor's Degree,None,,Agree,Somewhat competitive,78,female-control
R_3siV8Y6KIlVvDWj,Male,38,Bachelor's Degree,Company Hiring,,Agree,Somewhat competitive,52,female-control
R_2D2kmClShKC8Scy,Male,45,Master's Degree,None,,Agree,Somewhat competitive,81,female-control
R_2c2Ftl7XpMmvECX,Female,41,Bachelor's Degree,Company Hiring,,Agree,Extremely competitive,90,female-control
R_2CeuyOV3FL3REut,Female,30,Bachelor's Degree,Undergraduate Admissions,,Agree,Extremely competitive,100,female-control
R_3MJAEDMWlXYBTzD,Male,38,Bachelor's Degree,Company Hiring,,Agree,Competitive,90,female-control
R_3MuSQ6YaF0rB6mc,Male,36,Master's Degree,None,,Agree,Somewhat competitive,80,female-control
R_1NgGosgsZW9Km8O,Female,26,Master's Degree,Company Hiring,,Agree,Somewhat uncompetitive,76,female-control
R_4Ix2rTPblGcLG4p,Female,70,Master's Degree,None,,Agree,Uncompetitive,90,female-control
R_2qkKemeloYUSMvt,Female,52,Bachelor's Degree,Company Hiring,,Agree,Competitive,82,female-I1
R_2wyueWiL1ZKBPpG,Male,35,Bachelor's Degree,Company Hiring,,Agree,Somewhat uncompetitive,27,female-I1
R_1lhJJQpekRAwSrR,Male,35,Bachelor's Degree,Company Hiring,,Agree,Somewhat competitive,66,female-I1
R_1Lj6wDRlKMCCphP,Male,59,Doctorate Degree,None,,Agree,Competitive,80,female-I1
R_1IuWpTMGDtUOTgp,Female,29,Master's Degree,Company Hiring,,Agree,Somewhat competitive,30,female-I1
R_2aE0bCdwaTbd2Tm,Male,64,Master's Degree,Company Hiring,,Agree,Competitive,89,female-I1
R_ZyjldpLFQRHtKlb,Female,33,Master's Degree,"Undergraduate Admissions,Company Hiring",,Agree,Competitive,82,female-I1
R_0Aoll792s84qprz,Female,36,Bachelor's Degree,Company Hiring,,Agree,Somewhat uncompetitive,73,female-I1
R_10SoBEqEgvU0t7e,Female,28,Master's Degree,Company Hiring,,Agree,Competitive,82,female-I1
R_8JitS7mozoiBZbH,Female,23,Bachelor's Degree,None,,Agree,Somewhat competitive,50,female-I1
R_vkxvAOPxsC0s7Hr,Male,31,Bachelor's Degree,Company Hiring,,Agree,Somewhat competitive,82,female-I2
R_2WZ3ELkWzxBF2GO,Male,44,Bachelor's Degree,None,,Agree,Neutral (neither competitive nor uncompetitive),25,female-I2
R_W7eiQJxszGULt29,Female,59,Master's Degree,Company Hiring,,Agree,Somewhat competitive,57,female-I2
R_1GE4XdBoFfbQ2n4,Female,32,Bachelor's Degree,Company Hiring,,Agree,Somewhat competitive,64,female-I2
R_3htIoxhI7pNu3Xx,Male,25,Master's Degree,Ph.D Admissions,,Agree,Somewhat competitive,66,female-I2
R_2TRfqwTy0Bi4ZBe,Male,35,Master's Degree,Company Hiring,,Agree,Competitive,81,female-I2
R_2WvuZB1y5Wu1eOI,Male,37,Doctorate Degree,Company Hiring,,Agree,Neutral (neither competitive nor uncompetitive),53,female-I2
R_3efOQV8jdjJtAwY,Female,33,Master's Degree,None,,Agree,Neutral (neither competitive nor uncompetitive),90,female-I2
R_2pWsfDuhPlFQ86Z,Male,22,Bachelor's Degree,Undergraduate Admissions,,Agree,Somewhat competitive,77,female-I2
R_28ZhHvFuZ0i1FWv,Male,31,Master's Degree,Master's Admissions,,Agree,Competitive,79,female-I2
R_1QszqKkrbfCHaih,Female,46,Bachelor's Degree,None,,Agree,Neutral (neither competitive nor uncompetitive),79,female-I3
R_bOzKIasHx0mjAqt,Female,53,Master's Degree,"Undergraduate Admissions,Master's Admissions,Company Hiring",,Agree,Extremely competitive,100,female-I3
R_3CVjp4FS052LJ3k,Male,40,Master's Degree,"Undergraduate Admissions,Master's Admissions,Company Hiring",,Agree,Competitive,83,female-I3
R_30wp8S9PrEoQsk9,Female,71,Bachelor's Degree,Company Hiring,,Agree,Competitive,95,female-I3
R_vSr3UyP0frWsngB,Male,39,Bachelor's Degree,Company Hiring,,Agree,Competitive,84,female-I3
R_7ZHSBC2OQIvM1vb,Male,34,Master's Degree,"Undergraduate Admissions,Master's Admissions",,Agree,Competitive,87,female-I3
